,"windspeeds_at_54.0,-6.25"
01/01/2010 00:00,3.6136868
01/01/2010 01:00,3.5158515
01/01/2010 02:00,3.5791469
01/01/2010 03:00,3.789259
01/01/2010 04:00,3.9340882
01/01/2010 05:00,3.9915285
01/01/2010 06:00,4.031368
01/01/2010 07:00,4.140791
01/01/2010 08:00,4.3050942
01/01/2010 09:00,4.3861256
01/01/2010 10:00,4.685606
01/01/2010 11:00,4.847232
01/01/2010 12:00,5.0507207
01/01/2010 13:00,5.331254
01/01/2010 14:00,5.3688364
01/01/2010 15:00,5.401722
01/01/2010 16:00,5.529355
01/01/2010 17:00,5.5108604
01/01/2010 18:00,5.228477
01/01/2010 19:00,4.9022827
01/01/2010 20:00,4.6589203
01/01/2010 21:00,4.4460444
01/01/2010 22:00,4.2495613
01/01/2010 23:00,4.1542244
02/01/2010 00:00,4.1744895
02/01/2010 01:00,4.2794275
02/01/2010 02:00,4.449314
02/01/2010 03:00,4.7845182
02/01/2010 04:00,5.3122153
02/01/2010 05:00,5.8305364
02/01/2010 06:00,6.433366
02/01/2010 07:00,7.0986958
02/01/2010 08:00,7.690477
02/01/2010 09:00,8.005595
02/01/2010 10:00,7.48305
02/01/2010 11:00,6.999888
02/01/2010 12:00,6.237181
02/01/2010 13:00,5.2196426
02/01/2010 14:00,4.444622
02/01/2010 15:00,4.418828
02/01/2010 16:00,5.2203083
02/01/2010 17:00,6.3465767
02/01/2010 18:00,7.0514436
02/01/2010 19:00,7.554463
02/01/2010 20:00,7.6436534
02/01/2010 21:00,7.0793633
02/01/2010 22:00,6.5262494
02/01/2010 23:00,6.656299
03/01/2010 00:00,6.5118523
03/01/2010 01:00,6.47449
03/01/2010 02:00,6.723676
03/01/2010 03:00,6.799409
03/01/2010 04:00,6.565681
03/01/2010 05:00,6.2422204
03/01/2010 06:00,6.0506344
03/01/2010 07:00,5.790802
03/01/2010 08:00,5.598339
03/01/2010 09:00,5.403868
03/01/2010 10:00,5.2756543
03/01/2010 11:00,5.100808
03/01/2010 12:00,4.5676928
03/01/2010 13:00,3.8210719
03/01/2010 14:00,3.4462225
03/01/2010 15:00,3.6411068
03/01/2010 16:00,3.8812609
03/01/2010 17:00,3.9528759
03/01/2010 18:00,3.9277043
03/01/2010 19:00,3.790889
