,"windspeeds_at_52.0,-6.875"
01/01/2010 00:00,6.58919
01/01/2010 01:00,6.404848
01/01/2010 02:00,6.3216705
01/01/2010 03:00,6.2048283
01/01/2010 04:00,6.070518
01/01/2010 05:00,5.9726105
01/01/2010 06:00,5.8947997
01/01/2010 07:00,5.7459884
01/01/2010 08:00,5.4846754
01/01/2010 09:00,5.0617495
01/01/2010 10:00,4.5441403
01/01/2010 11:00,4.1786876
01/01/2010 12:00,3.8850484
01/01/2010 13:00,3.7443044
01/01/2010 14:00,3.6914878
01/01/2010 15:00,4.029029
01/01/2010 16:00,4.559915
01/01/2010 17:00,4.9216676
01/01/2010 18:00,5.1420274
01/01/2010 19:00,5.2762733
01/01/2010 20:00,5.3207026
01/01/2010 21:00,5.351336
01/01/2010 22:00,5.3756137
01/01/2010 23:00,5.3400755
02/01/2010 00:00,5.2410007
02/01/2010 01:00,5.155441
02/01/2010 02:00,5.102524
02/01/2010 03:00,5.185762
02/01/2010 04:00,5.310615
02/01/2010 05:00,5.282395
02/01/2010 06:00,5.096999
02/01/2010 07:00,4.804319
02/01/2010 08:00,4.691804
02/01/2010 09:00,4.6071043
02/01/2010 10:00,4.75728
02/01/2010 11:00,4.9032593
02/01/2010 12:00,4.903236
02/01/2010 13:00,4.762389
02/01/2010 14:00,4.613381
02/01/2010 15:00,4.7777944
02/01/2010 16:00,4.850129
02/01/2010 17:00,4.609407
02/01/2010 18:00,4.386703
02/01/2010 19:00,4.2640667
02/01/2010 20:00,4.36659
02/01/2010 21:00,4.8629026
02/01/2010 22:00,5.488084
02/01/2010 23:00,6.129547
03/01/2010 00:00,6.8445125
03/01/2010 01:00,7.737093
03/01/2010 02:00,8.724881
03/01/2010 03:00,9.328768
03/01/2010 04:00,9.59014
03/01/2010 05:00,9.840857
03/01/2010 06:00,10.022082
03/01/2010 07:00,10.212107
03/01/2010 08:00,10.423534
03/01/2010 09:00,10.4858885
03/01/2010 10:00,10.4900255
03/01/2010 11:00,10.348286
03/01/2010 12:00,10.108357
03/01/2010 13:00,9.7265
03/01/2010 14:00,9.295535
03/01/2010 15:00,9.039771
03/01/2010 16:00,8.877274
03/01/2010 17:00,8.738979
03/01/2010 18:00,8.413211
03/01/2010 19:00,8.0529785
03/01/2010 20:00,7.7435937
03/01/2010 21:00,7.3412676
03/01/2010 22:00,6.8948784
03/01/2010 23:00,6.4994926
04/01/2010 00:00,6.0643086
04/01/2010 01:00,5.6134553
04/01/2010 02:00,5.250989
04/01/2010 03:00,5.04183
04/01/2010 04:00,4.973259
04/01/2010 05:00,4.95423
04/01/2010 06:00,4.9427485
04/01/2010 07:00,4.859306
04/01/2010 08:00,4.7093287
04/01/2010 09:00,4.368525
04/01/2010 10:00,3.8704283
04/01/2010 11:00,3.6709006
04/01/2010 12:00,3.5706925
04/01/2010 13:00,3.603433
04/01/2010 14:00,3.6200259
04/01/2010 15:00,3.862166
04/01/2010 16:00,4.078036
04/01/2010 17:00,4.218136
04/01/2010 18:00,4.4373255
04/01/2010 19:00,4.6491804
04/01/2010 20:00,4.9494653
04/01/2010 21:00,5.417036
04/01/2010 22:00,5.9510655
04/01/2010 23:00,6.396486
05/01/2010 00:00,6.8266683
05/01/2010 01:00,7.209377
05/01/2010 02:00,7.999243
05/01/2010 03:00,8.179515
05/01/2010 04:00,7.8025417
05/01/2010 05:00,8.016456
05/01/2010 06:00,9.208958
05/01/2010 07:00,9.842351
05/01/2010 08:00,10.171301
05/01/2010 09:00,10.058042
05/01/2010 10:00,9.669155
05/01/2010 11:00,9.53777
05/01/2010 12:00,9.570746
05/01/2010 13:00,9.610498
05/01/2010 14:00,9.505451
05/01/2010 15:00,9.371063
05/01/2010 16:00,9.206339
05/01/2010 17:00,9.096684
05/01/2010 18:00,9.082475
05/01/2010 19:00,9.043846
05/01/2010 20:00,8.951649
05/01/2010 21:00,8.932921
05/01/2010 22:00,9.121228
05/01/2010 23:00,9.157115
06/01/2010 00:00,9.310173
06/01/2010 01:00,9.619662
06/01/2010 02:00,10.19752
06/01/2010 03:00,10.8986
