,"windspeeds_at_52.5,-6.25"
01/01/2010 00:00,5.3475003
01/01/2010 01:00,5.3070936
01/01/2010 02:00,5.3372617
01/01/2010 03:00,5.379691
01/01/2010 04:00,5.385782
01/01/2010 05:00,5.3962092
01/01/2010 06:00,5.382874
01/01/2010 07:00,5.200576
01/01/2010 08:00,4.886973
01/01/2010 09:00,4.6501527
01/01/2010 10:00,4.5222077
01/01/2010 11:00,4.4382997
01/01/2010 12:00,4.6945777
01/01/2010 13:00,4.995359
01/01/2010 14:00,5.1309137
01/01/2010 15:00,5.2699757
01/01/2010 16:00,5.7930765
01/01/2010 17:00,6.287353
01/01/2010 18:00,6.4204597
01/01/2010 19:00,6.4269004
01/01/2010 20:00,6.3944836
01/01/2010 21:00,6.423948
01/01/2010 22:00,6.2915673
01/01/2010 23:00,6.170347
02/01/2010 00:00,5.9971447
02/01/2010 01:00,5.8479447
02/01/2010 02:00,5.6707954
02/01/2010 03:00,5.63339
02/01/2010 04:00,5.706861
02/01/2010 05:00,5.788746
02/01/2010 06:00,5.675082
02/01/2010 07:00,5.5859246
02/01/2010 08:00,5.6043296
02/01/2010 09:00,5.868607
02/01/2010 10:00,6.140406
02/01/2010 11:00,6.187278
02/01/2010 12:00,6.1813545
02/01/2010 13:00,6.181381
02/01/2010 14:00,6.0415525
02/01/2010 15:00,6.031503
02/01/2010 16:00,6.1516633
02/01/2010 17:00,6.0371933
02/01/2010 18:00,5.6362996
02/01/2010 19:00,5.308211
02/01/2010 20:00,5.2989955
02/01/2010 21:00,5.9540415
02/01/2010 22:00,7.2398643
02/01/2010 23:00,8.431518
03/01/2010 00:00,8.997684
03/01/2010 01:00,9.411001
03/01/2010 02:00,9.80212
03/01/2010 03:00,10.001742
03/01/2010 04:00,10.108554
03/01/2010 05:00,10.100044
03/01/2010 06:00,9.849548
03/01/2010 07:00,9.778048
03/01/2010 08:00,9.766023
03/01/2010 09:00,9.738397
03/01/2010 10:00,9.511182
03/01/2010 11:00,9.033924
03/01/2010 12:00,8.493518
03/01/2010 13:00,7.8836193
03/01/2010 14:00,7.264198
03/01/2010 15:00,6.8360677
03/01/2010 16:00,6.681111
03/01/2010 17:00,6.651213
03/01/2010 18:00,6.5173907
03/01/2010 19:00,6.2743216
03/01/2010 20:00,5.937591
03/01/2010 21:00,5.4969845
03/01/2010 22:00,5.024789
03/01/2010 23:00,4.592102
04/01/2010 00:00,4.1469526
04/01/2010 01:00,3.6815958
04/01/2010 02:00,3.2696064
04/01/2010 03:00,3.019224
04/01/2010 04:00,2.9878573
04/01/2010 05:00,3.0641348
04/01/2010 06:00,3.1389406
04/01/2010 07:00,3.2732296
04/01/2010 08:00,3.4453475
04/01/2010 09:00,3.613962
04/01/2010 10:00,3.453715
04/01/2010 11:00,3.283826
04/01/2010 12:00,3.3983016
04/01/2010 13:00,3.6311502
04/01/2010 14:00,3.816359
04/01/2010 15:00,3.8819113
04/01/2010 16:00,4.264556
04/01/2010 17:00,4.7317324
04/01/2010 18:00,5.1922503
04/01/2010 19:00,5.6235094
04/01/2010 20:00,5.9322867
04/01/2010 21:00,6.1962304
04/01/2010 22:00,6.518768
