,"windspeeds_at_52.0,-6.25"
01/01/2010 00:00,7.3315287
01/01/2010 01:00,7.113121
01/01/2010 02:00,6.991473
01/01/2010 03:00,6.879767
01/01/2010 04:00,6.8182726
01/01/2010 05:00,6.7650356
01/01/2010 06:00,6.6665683
01/01/2010 07:00,6.468863
01/01/2010 08:00,6.107164
01/01/2010 09:00,5.609672
01/01/2010 10:00,5.0129247
01/01/2010 11:00,4.5467086
01/01/2010 12:00,4.3364944
01/01/2010 13:00,4.511715
01/01/2010 14:00,4.838688
01/01/2010 15:00,5.296982
01/01/2010 16:00,5.832041
01/01/2010 17:00,6.290218
01/01/2010 18:00,6.664873
01/01/2010 19:00,6.8716
01/01/2010 20:00,6.9321275
01/01/2010 21:00,6.921027
01/01/2010 22:00,6.867657
01/01/2010 23:00,6.7786255
02/01/2010 00:00,6.6066775
02/01/2010 01:00,6.406889
02/01/2010 02:00,6.2844563
02/01/2010 03:00,6.3221483
02/01/2010 04:00,6.4597907
02/01/2010 05:00,6.430192
02/01/2010 06:00,6.2016206
02/01/2010 07:00,5.873074
02/01/2010 08:00,5.719173
02/01/2010 09:00,5.693458
02/01/2010 10:00,5.8773413
02/01/2010 11:00,5.957915
02/01/2010 12:00,6.0589204
02/01/2010 13:00,6.0745616
02/01/2010 14:00,5.9984093
02/01/2010 15:00,6.056358
02/01/2010 16:00,6.0926805
02/01/2010 17:00,5.893552
02/01/2010 18:00,5.5949416
02/01/2010 19:00,5.3378053
02/01/2010 20:00,5.102166
02/01/2010 21:00,5.223783
02/01/2010 22:00,5.7755384
02/01/2010 23:00,6.5160847
03/01/2010 00:00,7.362862
03/01/2010 01:00,8.241678
03/01/2010 02:00,9.180178
03/01/2010 03:00,9.906473
03/01/2010 04:00,10.451086
03/01/2010 05:00,10.887661
03/01/2010 06:00,11.06259
03/01/2010 07:00,11.116755
03/01/2010 08:00,11.161909
03/01/2010 09:00,11.275854
03/01/2010 10:00,11.26608
03/01/2010 11:00,11.054874
03/01/2010 12:00,10.702116
03/01/2010 13:00,10.25327
03/01/2010 14:00,9.817777
03/01/2010 15:00,9.587999
03/01/2010 16:00,9.464122
03/01/2010 17:00,9.319385
03/01/2010 18:00,9.091132
03/01/2010 19:00,8.77559
03/01/2010 20:00,8.370307
03/01/2010 21:00,7.828743
03/01/2010 22:00,7.2475567
