,"windspeeds_at_53.5,-6.25"
01/01/2010 00:00,3.7716217
01/01/2010 01:00,3.7247937
01/01/2010 02:00,3.7400012
01/01/2010 03:00,3.855915
01/01/2010 04:00,3.9924796
01/01/2010 05:00,4.024218
01/01/2010 06:00,4.01426
01/01/2010 07:00,3.9768887
01/01/2010 08:00,4.0839357
01/01/2010 09:00,4.330969
01/01/2010 10:00,4.8436213
01/01/2010 11:00,5.025109
01/01/2010 12:00,5.360676
01/01/2010 13:00,5.613802
01/01/2010 14:00,5.581287
01/01/2010 15:00,5.6805987
01/01/2010 16:00,5.9185915
01/01/2010 17:00,5.9817066
01/01/2010 18:00,5.997993
01/01/2010 19:00,5.715754
01/01/2010 20:00,5.6505656
01/01/2010 21:00,5.368545
01/01/2010 22:00,5.179588
01/01/2010 23:00,5.028061
02/01/2010 00:00,4.9782825
02/01/2010 01:00,5.0170527
02/01/2010 02:00,5.0736876
02/01/2010 03:00,5.2378078
02/01/2010 04:00,5.57148
02/01/2010 05:00,5.95583
02/01/2010 06:00,6.3681636
02/01/2010 07:00,6.8745413
02/01/2010 08:00,7.447148
02/01/2010 09:00,7.9965253
02/01/2010 10:00,8.055003
02/01/2010 11:00,7.99833
02/01/2010 12:00,7.693609
02/01/2010 13:00,6.779884
02/01/2010 14:00,5.7752542
02/01/2010 15:00,5.0966005
02/01/2010 16:00,5.02882
02/01/2010 17:00,5.2785034
02/01/2010 18:00,5.857026
02/01/2010 19:00,6.744195
02/01/2010 20:00,7.611118
02/01/2010 21:00,8.022814
02/01/2010 22:00,8.086974
02/01/2010 23:00,8.07094
03/01/2010 00:00,7.92653
03/01/2010 01:00,7.9201546
03/01/2010 02:00,8.146568
03/01/2010 03:00,8.294826
03/01/2010 04:00,8.278558
03/01/2010 05:00,8.081879
03/01/2010 06:00,7.74016
03/01/2010 07:00,7.324942
03/01/2010 08:00,6.825661
03/01/2010 09:00,6.6959124
03/01/2010 10:00,6.5651536
03/01/2010 11:00,6.232078
03/01/2010 12:00,5.647145
03/01/2010 13:00,4.9716725
03/01/2010 14:00,4.3462386
03/01/2010 15:00,4.3387504
03/01/2010 16:00,4.5564613
03/01/2010 17:00,4.5827856
03/01/2010 18:00,4.5123014
03/01/2010 19:00,4.3265057
03/01/2010 20:00,4.009785
03/01/2010 21:00,3.5819824
03/01/2010 22:00,3.1543963
03/01/2010 23:00,2.815859
04/01/2010 00:00,2.5766227
04/01/2010 01:00,2.467293
04/01/2010 02:00,2.4920354
04/01/2010 03:00,2.5706718
04/01/2010 04:00,2.7475345
04/01/2010 05:00,3.006204
04/01/2010 06:00,3.3615482
04/01/2010 07:00,3.5871632
04/01/2010 08:00,3.6167927
04/01/2010 09:00,3.7386239
04/01/2010 10:00,3.8323638
04/01/2010 11:00,4.038079
04/01/2010 12:00,4.505804
04/01/2010 13:00,5.025434
04/01/2010 14:00,5.4666023
04/01/2010 15:00,5.6960826
04/01/2010 16:00,5.9930367
04/01/2010 17:00,6.221646
04/01/2010 18:00,6.2676845
04/01/2010 19:00,6.456631
04/01/2010 20:00,6.645433
04/01/2010 21:00,6.729264
04/01/2010 22:00,6.6299114
04/01/2010 23:00,6.6212077
05/01/2010 00:00,6.3581934
05/01/2010 01:00,5.9063735
05/01/2010 02:00,6.0857067
05/01/2010 03:00,7.01309
05/01/2010 04:00,7.664658
05/01/2010 05:00,8.029153
05/01/2010 06:00,8.189184
05/01/2010 07:00,7.816291
05/01/2010 08:00,7.439215
05/01/2010 09:00,7.5654917
05/01/2010 10:00,7.1339817
05/01/2010 11:00,6.959902
05/01/2010 12:00,6.8746853
05/01/2010 13:00,6.8590474
05/01/2010 14:00,6.57786
05/01/2010 15:00,6.453165
05/01/2010 16:00,6.4623632
05/01/2010 17:00,6.373969
05/01/2010 18:00,6.606865
05/01/2010 19:00,6.2947536
05/01/2010 20:00,6.447286
05/01/2010 21:00,6.9857116
05/01/2010 22:00,8.241752
05/01/2010 23:00,8.698108
06/01/2010 00:00,9.041794
06/01/2010 01:00,9.102016
06/01/2010 02:00,9.308215
06/01/2010 03:00,9.668255
06/01/2010 04:00,10.033359
06/01/2010 05:00,10.232105
06/01/2010 06:00,10.307703
06/01/2010 07:00,10.132846
06/01/2010 08:00,9.824854
06/01/2010 09:00,9.442901
06/01/2010 10:00,9.00231
06/01/2010 11:00,8.65872
06/01/2010 12:00,8.507359
06/01/2010 13:00,8.5224495
06/01/2010 14:00,8.357658
06/01/2010 15:00,7.5967436
06/01/2010 16:00,6.7110643
06/01/2010 17:00,6.023546
06/01/2010 18:00,5.4863644
06/01/2010 19:00,5.2123137
06/01/2010 20:00,5.082679
06/01/2010 21:00,5.0421977
06/01/2010 22:00,5.126364
06/01/2010 23:00,5.256543
07/01/2010 00:00,5.4500575
07/01/2010 01:00,5.7366824
07/01/2010 02:00,5.988548
07/01/2010 03:00,5.907151
07/01/2010 04:00,5.6533055
07/01/2010 05:00,5.2785034
07/01/2010 06:00,4.834413
07/01/2010 07:00,4.3981543
07/01/2010 08:00,4.048475
07/01/2010 09:00,3.8474853
07/01/2010 10:00,3.587444
07/01/2010 11:00,3.2862115
07/01/2010 12:00,2.9257617
07/01/2010 13:00,2.6566567
07/01/2010 14:00,2.3052475
07/01/2010 15:00,1.8324423
07/01/2010 16:00,1.6058719
07/01/2010 17:00,1.4404426
07/01/2010 18:00,1.2545172
07/01/2010 19:00,1.1858827
07/01/2010 20:00,1.2020646
07/01/2010 21:00,1.3829688
07/01/2010 22:00,1.7250857
07/01/2010 23:00,2.0829015
08/01/2010 00:00,2.4158864
08/01/2010 01:00,2.7346742
08/01/2010 02:00,3.0604186
08/01/2010 03:00,3.4279
08/01/2010 04:00,3.8216038
08/01/2010 05:00,4.127926
08/01/2010 06:00,4.3904185
08/01/2010 07:00,4.612171
08/01/2010 08:00,4.781631
08/01/2010 09:00,4.777089
08/01/2010 10:00,4.525346
08/01/2010 11:00,4.2294154
08/01/2010 12:00,3.8876421
08/01/2010 13:00,3.3423762
08/01/2010 14:00,3.0002835
08/01/2010 15:00,2.9134073
08/01/2010 16:00,2.8316648
08/01/2010 17:00,3.0398602
08/01/2010 18:00,3.4796562
08/01/2010 19:00,3.9747732
08/01/2010 20:00,4.34782
08/01/2010 21:00,4.6234226
08/01/2010 22:00,4.8466415
08/01/2010 23:00,5.0262895
09/01/2010 00:00,5.20095
09/01/2010 01:00,5.494364
09/01/2010 02:00,5.9219937
09/01/2010 03:00,5.982549
09/01/2010 04:00,5.9569154
09/01/2010 05:00,5.6062264
09/01/2010 06:00,5.140406
09/01/2010 07:00,4.8463173
09/01/2010 08:00,4.5103374
09/01/2010 09:00,4.487274
09/01/2010 10:00,4.6345606
09/01/2010 11:00,4.7290754
09/01/2010 12:00,4.8783526
09/01/2010 13:00,4.855698
09/01/2010 14:00,4.7996383
09/01/2010 15:00,4.9702997
09/01/2010 16:00,5.3178973
09/01/2010 17:00,5.6200614
09/01/2010 18:00,5.844963
09/01/2010 19:00,5.963952
09/01/2010 20:00,6.124632
09/01/2010 21:00,6.2917223
09/01/2010 22:00,6.591976
09/01/2010 23:00,7.089157
10/01/2010 00:00,7.492231
10/01/2010 01:00,7.7672944
10/01/2010 02:00,7.8243423
10/01/2010 03:00,7.8616886
10/01/2010 04:00,7.8714013
10/01/2010 05:00,8.048081
10/01/2010 06:00,8.336818
10/01/2010 07:00,8.7816105
10/01/2010 08:00,8.87181
10/01/2010 09:00,8.446346
10/01/2010 10:00,8.680974
10/01/2010 11:00,8.458772
10/01/2010 12:00,8.897017
10/01/2010 13:00,9.117637
10/01/2010 14:00,9.1893
10/01/2010 15:00,9.373547
10/01/2010 16:00,8.991743
10/01/2010 17:00,8.867228
10/01/2010 18:00,8.9652195
10/01/2010 19:00,8.788459
10/01/2010 20:00,8.5978
10/01/2010 21:00,8.505297
10/01/2010 22:00,8.355568
10/01/2010 23:00,8.191528
11/01/2010 00:00,8.125676
11/01/2010 01:00,7.7642393
11/01/2010 02:00,7.3291254
11/01/2010 03:00,7.057634
11/01/2010 04:00,6.858514
11/01/2010 05:00,6.65808
11/01/2010 06:00,6.4737687
11/01/2010 07:00,6.2289743
11/01/2010 08:00,5.8843412
11/01/2010 09:00,5.7572937
11/01/2010 10:00,5.5542426
11/01/2010 11:00,5.3844724
11/01/2010 12:00,5.0175147
11/01/2010 13:00,4.6730127
11/01/2010 14:00,4.3650055
11/01/2010 15:00,4.330466
11/01/2010 16:00,4.4856725
11/01/2010 17:00,4.667403
11/01/2010 18:00,4.9080887
11/01/2010 19:00,5.180489
11/01/2010 20:00,5.4662256
11/01/2010 21:00,5.8526587
11/01/2010 22:00,6.334547
11/01/2010 23:00,6.9766746
12/01/2010 00:00,7.5337
12/01/2010 01:00,8.14408
12/01/2010 02:00,8.792341
12/01/2010 03:00,9.476197
12/01/2010 04:00,10.261745
12/01/2010 05:00,11.435695
12/01/2010 06:00,12.560093
12/01/2010 07:00,13.232267
12/01/2010 08:00,13.776731
12/01/2010 09:00,14.351376
12/01/2010 10:00,14.851489
12/01/2010 11:00,14.929785
12/01/2010 12:00,14.684839
12/01/2010 13:00,14.495264
12/01/2010 14:00,14.094444
12/01/2010 15:00,13.645905
12/01/2010 16:00,12.96263
12/01/2010 17:00,12.441564
12/01/2010 18:00,12.333801
12/01/2010 19:00,12.25772
12/01/2010 20:00,12.035987
12/01/2010 21:00,11.728729
12/01/2010 22:00,11.42617
12/01/2010 23:00,11.119206
13/01/2010 00:00,10.746601
13/01/2010 01:00,10.272182
13/01/2010 02:00,9.683322
13/01/2010 03:00,9.068757
13/01/2010 04:00,8.407349
13/01/2010 05:00,7.7013283
13/01/2010 06:00,6.9154096
13/01/2010 07:00,6.3953805
13/01/2010 08:00,5.9630976
13/01/2010 09:00,5.8291173
13/01/2010 10:00,5.725588
13/01/2010 11:00,5.566783
13/01/2010 12:00,5.2137814
13/01/2010 13:00,4.7936854
13/01/2010 14:00,4.378231
13/01/2010 15:00,4.074634
13/01/2010 16:00,3.8361845
13/01/2010 17:00,3.572564
13/01/2010 18:00,3.3522468
13/01/2010 19:00,3.1784265
13/01/2010 20:00,3.0223641
13/01/2010 21:00,2.7990665
13/01/2010 22:00,2.4792361
13/01/2010 23:00,2.177447
14/01/2010 00:00,2.0694482
14/01/2010 01:00,2.2083917
14/01/2010 02:00,2.3660553
14/01/2010 03:00,2.5459049
14/01/2010 04:00,2.766999
14/01/2010 05:00,2.952501
14/01/2010 06:00,2.9429047
14/01/2010 07:00,2.8203063
14/01/2010 08:00,2.9295914
14/01/2010 09:00,3.0659177
14/01/2010 10:00,2.9392426
14/01/2010 11:00,2.9928167
14/01/2010 12:00,3.241065
14/01/2010 13:00,3.5597682
14/01/2010 14:00,3.5352924
