,"windspeeds_at_53.0,-6.25"
01/01/2010 00:00,4.0921745
01/01/2010 01:00,4.050998
01/01/2010 02:00,4.028731
01/01/2010 03:00,4.0620594
01/01/2010 04:00,4.146275
01/01/2010 05:00,4.225751
01/01/2010 06:00,4.2010655
01/01/2010 07:00,4.0849204
01/01/2010 08:00,4.088182
01/01/2010 09:00,4.2191725
01/01/2010 10:00,4.3268905
01/01/2010 11:00,4.701617
01/01/2010 12:00,5.139884
01/01/2010 13:00,5.4074636
01/01/2010 14:00,5.366197
01/01/2010 15:00,5.3013787
01/01/2010 16:00,5.6148267
01/01/2010 17:00,5.829995
01/01/2010 18:00,5.86187
01/01/2010 19:00,5.6834073
01/01/2010 20:00,5.6729536
01/01/2010 21:00,5.5223794
01/01/2010 22:00,5.2938457
01/01/2010 23:00,5.2407093
02/01/2010 00:00,5.1301894
02/01/2010 01:00,5.0498548
02/01/2010 02:00,4.9350615
02/01/2010 03:00,4.952433
02/01/2010 04:00,5.085957
02/01/2010 05:00,5.2319975
02/01/2010 06:00,5.3680124
02/01/2010 07:00,5.530985
02/01/2010 08:00,5.7774634
02/01/2010 09:00,6.376096
02/01/2010 10:00,6.7704062
02/01/2010 11:00,6.9536595
02/01/2010 12:00,6.9291816
02/01/2010 13:00,6.6667686
02/01/2010 14:00,6.166982
02/01/2010 15:00,5.7736382
02/01/2010 16:00,5.565019
02/01/2010 17:00,5.35771
02/01/2010 18:00,4.931982
02/01/2010 19:00,4.972797
02/01/2010 20:00,5.589344
02/01/2010 21:00,6.630874
02/01/2010 22:00,7.922116
02/01/2010 23:00,8.709174
03/01/2010 00:00,8.7510605
03/01/2010 01:00,8.611255
03/01/2010 02:00,8.670511
03/01/2010 03:00,8.81398
03/01/2010 04:00,8.87043
03/01/2010 05:00,8.747691
03/01/2010 06:00,8.198154
03/01/2010 07:00,7.881206
03/01/2010 08:00,7.582234
03/01/2010 09:00,7.478342
03/01/2010 10:00,7.206607
03/01/2010 11:00,6.773865
03/01/2010 12:00,6.23693
03/01/2010 13:00,5.6424294
03/01/2010 14:00,5.0427895
03/01/2010 15:00,4.679639
03/01/2010 16:00,4.8731513
03/01/2010 17:00,4.9972744
03/01/2010 18:00,4.970638
03/01/2010 19:00,4.7916837
03/01/2010 20:00,4.4917707
03/01/2010 21:00,4.0869374
03/01/2010 22:00,3.6526556
03/01/2010 23:00,3.2471178
04/01/2010 00:00,2.8500233
04/01/2010 01:00,2.4755888
04/01/2010 02:00,2.233964
04/01/2010 03:00,2.1908488
04/01/2010 04:00,2.359221
04/01/2010 05:00,2.632608
04/01/2010 06:00,2.9842894
04/01/2010 07:00,3.4011018
04/01/2010 08:00,3.602246
04/01/2010 09:00,3.5886304
04/01/2010 10:00,3.3528614
04/01/2010 11:00,3.4581187
04/01/2010 12:00,3.7692251
04/01/2010 13:00,4.1436605
04/01/2010 14:00,4.313683
04/01/2010 15:00,4.397331
04/01/2010 16:00,4.8519444
04/01/2010 17:00,5.312243
04/01/2010 18:00,5.5399656
04/01/2010 19:00,5.75884
04/01/2010 20:00,6.065128
04/01/2010 21:00,6.2858152
04/01/2010 22:00,6.327731
04/01/2010 23:00,6.3091245
05/01/2010 00:00,6.228473
05/01/2010 01:00,6.1443763
05/01/2010 02:00,5.757521
05/01/2010 03:00,6.042495
